osm_node_id,lat,lon,node_type
osm_node_00136,25.3911293,92.1594205,osm_network_node
osm_node_00137,25.3914264,92.159894,osm_network_node
osm_node_00138,25.423953,92.167128,osm_network_node
osm_node_00139,25.3616089,92.2458592,osm_network_node
osm_node_00140,25.3651765,92.3145533,osm_network_node
osm_node_00141,25.4168787,92.2873263,osm_network_node
osm_node_00142,25.3399729,92.2026193,osm_network_node
osm_node_00143,25.3696783,92.3264663,osm_network_node
osm_node_00144,25.3226997,92.3177062,osm_network_node
osm_node_00145,25.3653122,92.3160526,osm_network_node
osm_node_00146,25.3656744,92.3201249,osm_network_node
osm_node_00147,25.3823758,92.325561,osm_network_node
osm_node_00148,25.3688227,92.3305902,osm_network_node
osm_node_00149,25.3919595,92.3302013,osm_network_node
osm_node_00150,25.3931568,92.315153,osm_network_node
osm_node_00151,25.391662,92.321162,osm_network_node
osm_node_00152,25.4140707,92.3186892,osm_network_node
osm_node_00153,25.4658907,92.2721437,osm_network_node
osm_node_00154,25.470261,92.2891044,osm_network_node
osm_node_00155,25.467001,92.290617,osm_network_node
osm_node_00156,25.5274749,92.3039317,osm_network_node
osm_node_00157,25.4685198,92.2881568,osm_network_node
osm_node_00158,25.4352518,92.1857688,osm_network_node
osm_node_00159,25.4295165,92.1913165,osm_network_node
osm_node_00160,25.440136,92.193629,osm_network_node
osm_node_00161,25.435521,92.186553,osm_network_node
osm_node_00162,25.440219,92.195434,osm_network_node
osm_node_00163,25.4435144,92.19642,osm_network_node
osm_node_00164,25.4427714,92.1967652,osm_network_node
osm_node_00165,25.4501719,92.1975038,osm_network_node
osm_node_00166,25.4518094,92.1912082,osm_network_node
osm_node_00167,25.4520418,92.1909554,osm_network_node
osm_node_00168,25.4665433,92.2337832,osm_network_node
osm_node_00169,25.387942,92.0518899,osm_network_node
osm_node_00170,25.406769,92.0536173,osm_network_node
osm_node_00171,25.4068754,92.0536878,osm_network_node
osm_node_00172,25.436825,92.0575268,osm_network_node
osm_node_00173,25.426397,92.0138566,osm_network_node
osm_node_00174,25.4263245,92.0137215,osm_network_node
osm_node_00175,25.4321385,92.0383324,osm_network_node
osm_node_00176,25.4322094,92.0383559,osm_network_node
osm_node_00177,25.4335593,92.0430815,osm_network_node
osm_node_00178,25.4335418,92.0432586,osm_network_node
osm_node_00179,25.4340619,92.044377,osm_network_node
osm_node_00180,25.4340977,92.0443965,osm_network_node
osm_node_00181,25.4345609,92.0457087,osm_network_node
osm_node_00182,25.4346299,92.0457732,osm_network_node
osm_node_00183,25.4367837,92.0574494,osm_network_node
osm_node_00184,25.4416843,91.991546,osm_network_node
osm_node_00185,25.4678526,91.991546,osm_network_node
osm_node_00186,25.4636225,92.0089371,osm_network_node
osm_node_00187,25.4796994,92.0825891,osm_network_node
osm_node_00188,25.4767211,92.0968384,osm_network_node
osm_node_00189,25.4797805,92.0826226,osm_network_node
osm_node_00190,25.3280262,92.3195422,osm_network_node
osm_node_00191,25.282905,92.3168439,osm_network_node
osm_node_00192,25.3224876,92.3172207,osm_network_node
osm_node_00193,25.3388945,92.3667686,osm_network_node
osm_node_00194,25.3056312,92.3821916,osm_network_node
osm_node_00195,25.3370542,92.3252982,osm_network_node
osm_node_00196,25.3466319,92.3442158,osm_network_node
osm_node_00197,25.3468815,92.344586,osm_network_node
osm_node_00198,25.3555834,92.368935,osm_network_node
osm_node_00199,25.3688809,92.3307484,osm_network_node
osm_node_00200,25.3693818,92.3339301,osm_network_node
osm_node_00201,25.3914149,92.3330737,osm_network_node
osm_node_00202,25.416648,92.3024,osm_network_node
osm_node_00203,25.4372871,92.3580694,osm_network_node
osm_node_00204,25.4552741,92.3899113,osm_network_node
osm_node_00205,25.4694155,92.3590484,osm_network_node
osm_node_00206,25.3851387,92.3250152,osm_network_node
osm_node_00207,25.4159119,92.4605834,osm_network_node
osm_node_00208,25.447983,92.4115178,osm_network_node
osm_node_00209,25.4475664,92.4116036,osm_network_node
osm_node_00210,25.469372,92.4091199,osm_network_node
osm_node_00211,25.4833313,92.4748461,osm_network_node
osm_node_00212,25.4651237,92.2961217,osm_network_node
osm_node_00213,25.3691391,92.4356496,osm_network_node
osm_node_00214,25.382795,92.4511474,osm_network_node
osm_node_00215,25.3829113,92.4515337,osm_network_node
osm_node_00216,25.5210849,92.4459439,osm_network_node
osm_node_00217,25.5198698,92.4344748,osm_network_node
osm_node_00218,25.5250424,92.4369773,osm_network_node
osm_node_00219,25.4697158,92.3584449,osm_network_node
osm_node_00220,25.470033,92.3662502,osm_network_node
osm_node_00221,25.4692702,92.3694286,osm_network_node
osm_node_00222,25.4733311,92.3538396,osm_network_node
osm_node_00223,25.4770746,92.3523107,osm_network_node
osm_node_00224,25.4799726,92.3555685,osm_network_node
osm_node_00225,25.4764884,92.3522748,osm_network_node
